TIMESTAMP: 0.000000, X: 5.074532, Y: 2.460655, Z: -2.201912, PITCH: 0.171560, YAW: -0.989547
TIMESTAMP: 0.100000, X: 5.074533, Y: 2.460656, Z: -2.201912, PITCH: 0.172395, YAW: -0.994361
TIMESTAMP: 0.200000, X: 5.074548, Y: 2.460671, Z: -2.201921, PITCH: 0.176851, YAW: -1.020066
TIMESTAMP: 0.300000, X: 5.074613, Y: 2.460730, Z: -2.201959, PITCH: 0.180834, YAW: -1.043030
TIMESTAMP: 0.400000, X: 5.074785, Y: 2.460886, Z: -2.202057, PITCH: 0.182142, YAW: -1.050585
TIMESTAMP: 0.500000, X: 5.075139, Y: 2.461204, Z: -2.202260, PITCH: 0.184023, YAW: -1.061440
TIMESTAMP: 0.600000, X: 5.075770, Y: 2.461765, Z: -2.202618, PITCH: 0.187434, YAW: -1.081104
TIMESTAMP: 0.700000, X: 5.076787, Y: 2.462659, Z: -2.203193, PITCH: 0.190495, YAW: -1.098750
TIMESTAMP: 0.800000, X: 5.078313, Y: 2.463986, Z: -2.204049, PITCH: 0.192725, YAW: -1.111624
TIMESTAMP: 0.900000, X: 5.080485, Y: 2.465853, Z: -2.205261, PITCH: 0.195147, YAW: -1.125606
TIMESTAMP: 1.000000, X: 5.083449, Y: 2.468372, Z: -2.206905, PITCH: 0.198016, YAW: -1.142143
TIMESTAMP: 1.100000, X: 5.087362, Y: 2.471659, Z: -2.209060, PITCH: 0.200781, YAW: -1.158084
TIMESTAMP: 1.200000, X: 5.092387, Y: 2.475830, Z: -2.211812, PITCH: 0.203307, YAW: -1.172662
TIMESTAMP: 1.300000, X: 5.098694, Y: 2.481003, Z: -2.215243, PITCH: 0.205889, YAW: -1.187559
TIMESTAMP: 1.400000, X: 5.106459, Y: 2.487294, Z: -2.219441, PITCH: 0.208598, YAW: -1.203181
TIMESTAMP: 1.500000, X: 5.115860, Y: 2.494818, Z: -2.224491, PITCH: 0.211278, YAW: -1.218634
TIMESTAMP: 1.600000, X: 5.127078, Y: 2.503685, Z: -2.230479, PITCH: 0.213890, YAW: -1.233701
TIMESTAMP: 1.700000, X: 5.140298, Y: 2.514001, Z: -2.237488, PITCH: 0.216517, YAW: -1.248858
TIMESTAMP: 1.800000, X: 5.155700, Y: 2.525866, Z: -2.245601, PITCH: 0.219181, YAW: -1.264220
TIMESTAMP: 1.900000, X: 5.173468, Y: 2.539375, Z: -2.254899, PITCH: 0.221836, YAW: -1.279534
TIMESTAMP: 2.000000, X: 5.193780, Y: 2.554615, Z: -2.265458, PITCH: 0.224472, YAW: -1.294739
TIMESTAMP: 2.100000, X: 5.216815, Y: 2.571666, Z: -2.277353, PITCH: 0.227112, YAW: -1.309970
TIMESTAMP: 2.200000, X: 5.242745, Y: 2.590598, Z: -2.290652, PITCH: 0.229763, YAW: -1.325258
TIMESTAMP: 2.300000, X: 5.271739, Y: 2.611475, Z: -2.305423, PITCH: 0.232412, YAW: -1.340533
TIMESTAMP: 2.400000, X: 5.303959, Y: 2.634350, Z: -2.321727, PITCH: 0.235054, YAW: -1.355777
TIMESTAMP: 2.500000, X: 5.339563, Y: 2.659267, Z: -2.339620, PITCH: 0.237698, YAW: -1.371029
TIMESTAMP: 2.600000, X: 5.378700, Y: 2.686262, Z: -2.359154, PITCH: 0.240346, YAW: -1.386297
TIMESTAMP: 2.700000, X: 5.421513, Y: 2.715359, Z: -2.380376, PITCH: 0.242992, YAW: -1.401561
TIMESTAMP: 2.800000, X: 5.468135, Y: 2.746574, Z: -2.403327, PITCH: 0.245637, YAW: -1.416816
TIMESTAMP: 2.900000, X: 5.518691, Y: 2.779912, Z: -2.428043, PITCH: 0.248282, YAW: -1.432073
TIMESTAMP: 3.000000, X: 5.573296, Y: 2.815370, Z: -2.454552, PITCH: 0.250928, YAW: -1.447335
TIMESTAMP: 3.100000, X: 5.632057, Y: 2.852933, Z: -2.482881, PITCH: 0.253574, YAW: -1.462596
TIMESTAMP: 3.200000, X: 5.695069, Y: 2.892580, Z: -2.513046, PITCH: 0.256219, YAW: -1.477854
TIMESTAMP: 3.300000, X: 5.762417, Y: 2.934277, Z: -2.545061, PITCH: 0.258865, YAW: -1.493113
TIMESTAMP: 3.400000, X: 5.834174, Y: 2.977984, Z: -2.578934, PITCH: 0.261510, YAW: -1.508374
TIMESTAMP: 3.500000, X: 5.910402, Y: 3.023651, Z: -2.614664, PITCH: 0.264156, YAW: -1.523634
TIMESTAMP: 3.600000, X: 5.991153, Y: 3.071222, Z: -2.652249, PITCH: 0.266802, YAW: -1.538893
TIMESTAMP: 3.700000, X: 6.076466, Y: 3.120631, Z: -2.691677, PITCH: 0.269447, YAW: -1.554152
TIMESTAMP: 3.800000, X: 6.166366, Y: 3.171805, Z: -2.732934, PITCH: 0.272093, YAW: -1.569412
TIMESTAMP: 3.900000, X: 6.260869, Y: 3.224666, Z: -2.776000, PITCH: 0.274738, YAW: -1.584672
TIMESTAMP: 4.000000, X: 6.359976, Y: 3.279129, Z: -2.820848, PITCH: 0.277384, YAW: -1.599931
TIMESTAMP: 4.100000, X: 6.463679, Y: 3.335102, Z: -2.867448, PITCH: 0.280029, YAW: -1.615190
TIMESTAMP: 4.200000, X: 6.571953, Y: 3.392491, Z: -2.915764, PITCH: 0.282675, YAW: -1.630451
TIMESTAMP: 4.300000, X: 6.684764, Y: 3.451195, Z: -2.965756, PITCH: 0.285321, YAW: -1.645712
TIMESTAMP: 4.400000, X: 6.802065, Y: 3.511110, Z: -3.017380, PITCH: 0.287966, YAW: -1.660970
TIMESTAMP: 4.500000, X: 6.923795, Y: 3.572129, Z: -3.070587, PITCH: 0.290611, YAW: -1.676226
TIMESTAMP: 4.600000, X: 7.049882, Y: 3.634142, Z: -3.125325, PITCH: 0.293257, YAW: -1.691489
TIMESTAMP: 4.700000, X: 7.180242, Y: 3.697039, Z: -3.181538, PITCH: 0.295904, YAW: -1.706754
TIMESTAMP: 4.800000, X: 7.314778, Y: 3.760707, Z: -3.239165, PITCH: 0.298549, YAW: -1.722008
TIMESTAMP: 4.900000, X: 7.453383, Y: 3.825033, Z: -3.298145, PITCH: 0.301192, YAW: -1.737257
TIMESTAMP: 5.000000, X: 7.595935, Y: 3.889904, Z: -3.358412, PITCH: 0.303840, YAW: -1.752527
TIMESTAMP: 5.100000, X: 7.742304, Y: 3.955209, Z: -3.419898, PITCH: 0.306489, YAW: -1.767808
TIMESTAMP: 5.200000, X: 7.892348, Y: 4.020836, Z: -3.482532, PITCH: 0.309131, YAW: -1.783047
TIMESTAMP: 5.300000, X: 8.045913, Y: 4.086679, Z: -3.546242, PITCH: 0.311770, YAW: -1.798267
TIMESTAMP: 5.400000, X: 8.202835, Y: 4.152631, Z: -3.610953, PITCH: 0.314422, YAW: -1.813566
TIMESTAMP: 5.500000, X: 8.362941, Y: 4.218591, Z: -3.676590, PITCH: 0.317081, YAW: -1.828899
TIMESTAMP: 5.600000, X: 8.526046, Y: 4.284461, Z: -3.743075, PITCH: 0.319713, YAW: -1.844085
TIMESTAMP: 5.700000, X: 8.691958, Y: 4.350147, Z: -3.810330, PITCH: 0.322335, YAW: -1.859207
TIMESTAMP: 5.800000, X: 8.860473, Y: 4.415562, Z: -3.878278, PITCH: 0.325005, YAW: -1.874604
TIMESTAMP: 5.900000, X: 9.031382, Y: 4.480621, Z: -3.946837, PITCH: 0.327695, YAW: -1.890121
TIMESTAMP: 6.000000, X: 9.204466, Y: 4.545249, Z: -4.015929, PITCH: 0.330296, YAW: -1.905124
TIMESTAMP: 6.100000, X: 9.379497, Y: 4.609376, Z: -4.085473, PITCH: 0.332860, YAW: -1.919917
TIMESTAMP: 6.200000, X: 9.556243, Y: 4.672939, Z: -4.155391, PITCH: 0.335587, YAW: -1.935643
TIMESTAMP: 6.300000, X: 9.734463, Y: 4.735881, Z: -4.225603, PITCH: 0.338361, YAW: -1.951645
TIMESTAMP: 6.400000, X: 9.913910, Y: 4.798153, Z: -4.296030, PITCH: 0.340878, YAW: -1.966162
TIMESTAMP: 6.500000, X: 10.094333, Y: 4.859716, Z: -4.366595, PITCH: 0.343587, YAW: -1.981786
TIMESTAMP: 6.600000, X: 10.275475, Y: 4.920537, Z: -4.437220, PITCH: 0.347289, YAW: -2.003138
TIMESTAMP: 6.700000, X: 10.457074, Y: 4.980590, Z: -4.507829, PITCH: 0.351591, YAW: -2.027955
